VIN,Plate Number,Vehicle Year,Vehicle Make,Vehicle Model,Group Policy Insurer Name,Group Policy Number,Group Policy Expiration Date,Peer To Peer Company Name,Peer To Peer Vehicle Added Date
JTHEZ1CL9LA012989,LBT7443,2020,Lexus,GS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/07/2023 12:00:00 AM
JTHG5LGF6L5007875,KSZ2399,2020,Lexus,LS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/04/2023 12:00:00 AM
JTHGZ1E22M5022142,JPE6163,2021,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,11/21/2022 12:00:00 AM
JTHGZ1E25M5019011,LCU5565,2021,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/30/2023 12:00:00 AM
JTHGZ1E26P5030071,LBD-1499,2023,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,05/25/2023 12:00:00 AM
JTHHP5AY2JA002150,BBL,2018,Lexus,LC,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,05/06/2023 12:00:00 AM
JTHKD5BH0F2235040,KHL9546,2015,Lexus,CT,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/16/2022 12:00:00 AM
JTHKPAAY0MA103870,MORF,2021,Lexus,LC,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/14/2022 12:00:00 AM
JTHP9JBHXL2033348,HSJ2757,2020,Lexus,UX,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,11/17/2022 12:00:00 AM
JTHR9JBH8M2040485,KLG4619,2021,Lexus,UX,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,05/25/2023 12:00:00 AM
JTHSE5BC0F5001433,KRL,2015,Lexus,RC,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/28/2023 12:00:00 AM
JTHSM5BC9H5003607,KZC7825,2017,Lexus,RC,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,01/25/2023 12:00:00 AM
JTHU9JBH2K2003309,EUL2381,2019,Lexus,UX,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/09/2023 12:00:00 AM
1HGCV1F11KA065264,LFW5868,2019,Honda,Accord,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/09/2023 12:00:00 AM
1HGCV1F12MA004928,LAF7033,2021,Honda,Accord,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/17/2023 12:00:00 AM
1HGCV1F13KA009956,KTG6293,2019,Honda,Accord,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/08/2022 12:00:00 AM
1HGCV1F13LA132139,KFR8158,2020,Honda,Accord,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,06/18/2023 12:00:00 AM
1HGCV1F14LA071545,LDH5471,2020,Honda,Accord,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/28/2023 12:00:00 AM
